Table,Tag1,Tag2,Tag3,Tag4,Tag5
2.F7,administration,administrative,call,,
6.A1,awards,OASDI,DI,spouses,kids
6.C7,DI,disability,awards,application,
2.A30,DI,SGA,disability insurance,disability,rules
5.A17,DI,disability,disabled,DAC,
5.D1,DI,disability,disabled,,
5.D2,DI,disability,disabled,,
5.D3,DI,disability,disabled,,
2.F8,DI,disability,process,application,
2.F9,DI,disability,process,application,
2.F11,DI,disability,process,application,
4.A2,DI,balance,,,
2.F5,DI,claims,,,
5.A1.2,DI,disability,,,
6.C1,DI,disability,,,
6.C2,DI,disability,,,
5.E2,DI ,disability,disabled,DAC,
5.E1,DI ,disability,disabled,PIA,
5.D4,DI ,disability,disabled,,
4.A6,disability,trustfund,,,
5.A3,earnings test,RET,,,
5.H3,family,OASDI,,,
5.H4,family,survivors,,,
5.J8,geography,geographic,DI,disability,
5.J14,geography,geographic,DI,disability,DAC
5.J10,geography,geographic,kids,DAC,
5.J2,geography,geographic,OASDI,survivors,disability
5.J1,geography,geographic,OASDI,,
5.J4,geography,geographic,survivors,disability,
6.A6,geography,geographic,,,
5.M1,international,countries,,,
3.C6,joint benefits,receipt,DAC,,
5.A5,OASDI,OASI,DI,DAC,
6.A4,OASDI,DI,disability,,
6.F1,OASDI,DI,kids,DAC,spouses
6.F2,OASDI,DI,kids,DAC,spouses
6.F3,OASDI,DI,kids,DAC,spouses
5.A4,OASDI,trustfund,OASI,DI,
5.H2,OASDI,families,PIA,,
5.B6,OASDI,OASI,RET,earnings test,
5.B7,OASDI,OASI,RET,earnings test,PIA
6.B3,OASDI,OASI,RET,earnings test,
6.A3,OASDI,DI,spousal,kids,
4.A3,OASDI,balance,,,
4.A4,OASDI,balance,,,
5.A10,OASDI,DAC,,,
5.H1,OASDI,families,,,
5.B4,OASDI,OASI,,,
6.B5,OASDI,OASI,,,
6.B5.1,OASDI,OASI,,,
5.A6,OASDI,,,DAC,
5.A1.1,OASDI,,,,
5.A1.4,OASI,kids,kid,DAC,
5.A1,OASI,DI,OASDI,,
5.A1.7,OASI,disability,spouses,spousal,
5.A1.5,OASI,survivors,spouses,spousal,
5.A1.6,OASI,survivors,spouses,spousal,
4.A1,OASI,tax,taxes,benefits,trustfund
2.F4,OASI,claims,,,
5.A1.3,OASI,spousal,,,
5.A7,OASI,spousal,,,
5.A1.8,OASI,survivors,,,
6.A2,PIA,OASDI,DI,,
5.A8,PIA,special,,,
2.A20,policy,formulas,formula,rule,rules
2.A21,policy,formulas,formula,rule,rules
6.A5,RET,earnings test,OASDI,DI,
3.C5,social security area,geography,geographic,,
4.C1,social security area,,,,
4.C2,social security area,,,,
5.F7,spouses,spousal,kids,kids,PIA
5.F8,spouses,spousal,kids,,
6.D4,spouses,survivors,kids,DAC,
6.D5,spouses,survivors,kids,DAC,
6.D7,spouses,survivors,OASI,,
6.D8,spouses,survivors,OASI,,
2.F6,SSI,claims,,,
5.F4,survivors,kids,DAC,,
5.A14,survivors,spouses,duals,,
5.F6,survivors,spouses,spousal,kids,DAC
5.F1,survivors,spouses,spousal,,
5.A15,survivors,spouses,,,
5.A16,survivors,spouses,,,
2.A3,taxes,tax,taxmax,,
2.A4,taxes,tax,taxmax,,
3.C3,trustfund,balance,,,
4.A5,trustfund,survivors,,,
